Recipe	Ingredient	Specie	Quantity	Dry_matter	Energy	Water	Glucides	Lipids	Proteins	Richness	Phylogenetic_diversity	Weighted_phylogenetic_diversity	Shannon	Simpson	URL
Burger végétarien aux lentilles	Chapelure	Triticum	60 g	55.63 g	1580.0	7.29	70	3.77	11.6	10	301.6	26.59	1.03	4.14	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	Salade	Lactuca sativa	20 g	0.78 g	NA	96.1	1.5	0.1	1.01	10	301.6	26.59	1.03	4.14	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	Comté	Bos taurus	60 g	40.08 g	1730.0	33.2	NA	34.6	27.2	10	301.6	26.59	1.03	4.14	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	Pain pour hamburger	Triticum	200 g	138.2 g	1240.0	30.9	49.7	5.35	9.07	10	301.6	26.59	1.03	4.14	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	Mayonnaise	NA	30 g	24.57 g	NA	18.1	2.62	75.2	1.36	10	301.6	26.59	1.03	4.14	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	Ail	Allium sativum	40 g	12.88 g	470.0	67.8	18.6	 0.5	5.31	10	301.6	26.59	1.03	4.14	https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	Huile d'olive	Olea europaea	30 g	29.97 g	3700.0	0.1	0	99.9	 0.5	10	301.6	26.59	1.03	4.14	https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	Cumin	Cuminum cyminum	5 g	4.6 g	1780.0	8.06	33.7	22.3	17.8	10	301.6	26.59	1.03	4.14	https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	Concentré de tomates	Solanum lycopersicum	15 g	4.2 g	419.0	72	17.1	0.53	4.4	10	301.6	26.59	1.03	4.14	https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	Ketchup	NA	30 g	8.67 g	420.0	71.1	21.4	0.19	1.27	10	301.6	26.59	1.03	4.14	https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	Sel	NA	1 g	1.0 g	0.0	0.027	0	0	0	10	301.6	26.59	1.03	4.14	https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	Poivre	Piper nigrum	1 g	0.91 g	1380.0	9	39.5	7.5	13.3	10	301.6	26.59	1.03	4.14	https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	Oignon	Allium cepa	120 g	12.48 g	NA	89.6	6.25	0.62	1.1	10	301.6	26.59	1.03	4.14	https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	Oeuf	Gallus gallus	80 g	18.96 g	584.0	76.3	0.27	9.83	12.7	10	301.6	26.59	1.03	4.14	https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	Chapelure	Triticum	60 g	55.63 g	1580.0	7.29	70	3.77	11.6	10	301.6	26.59	1.03	4.14	https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	Salade	Lactuca sativa	20 g	0.78 g	NA	96.1	1.5	0.1	1.01	10	301.6	26.59	1.03	4.14	https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	Comté	Bos taurus	60 g	40.08 g	1730.0	33.2	NA	34.6	27.2	10	301.6	26.59	1.03	4.14	https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	Pain pour hamburger	Triticum	200 g	138.2 g	1240.0	30.9	49.7	5.35	9.07	10	301.6	26.59	1.03	4.14	https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	Mayonnaise	NA	30 g	24.57 g	NA	18.1	2.62	75.2	1.36	10	301.6	26.59	1.03	4.14	https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Nems végétariens	Ail	Allium sativum	120 g	38.64 g	470.0	67.8	18.6	 0.5	5.31	7	172.67	17.03	2.18	1.27	https://www.marmiton.org/recettes/recette_nems-vegetariens_26829.aspx
Nems végétariens	Huile	NA	30 g	29.99 g	3700.0	 0.03	0	100	 0.5	7	172.67	17.03	2.18	1.27	https://www.marmiton.org/recettes/recette_nems-vegetariens_26829.aspx
Nems végétariens	Poivre	Piper nigrum	1 g	0.91 g	1380.0	9	39.5	7.5	13.3	7	172.67	17.03	2.18	1.27	https://www.marmiton.org/recettes/recette_nems-vegetariens_26829.aspx
Nems végétariens	Vinaigre de riz	Oryza	15 cl	10.65 g	97.4	92.9	0.62	0.1	0.04	7	172.67	17.03	2.18	1.27	https://www.marmiton.org/recettes/recette_nems-vegetariens_26829.aspx
Nems végétariens	Huile de sésame	Sesamum indicum	10 cl	100.0 g	3700.0	0	0	100	0	7	172.67	17.03	2.18	1.27	https://www.marmiton.org/recettes/recette_nems-vegetariens_26829.aspx
Nems végétariens	Feuille de riz	Oryza	20 g	18.1 g	1550.0	9.5	80.5	1	7.44	7	172.67	17.03	2.18	1.27	https://www.marmiton.org/recettes/recette_nems-vegetariens_26829.aspx
Nems végétariens	Oignon	Allium cepa	120 g	12.48 g	NA	89.6	6.25	0.62	1.1	7	172.67	17.03	2.18	1.27	https://www.marmiton.org/recettes/recette_nems-vegetariens_26829.aspx
Nems végétariens	Vermicelles de soja	Glycine max	200 g	31.2 g	260.0	84.4	14.4	0.1	 0.57	7	172.67	17.03	2.18	1.27	https://www.marmiton.org/recettes/recette_nems-vegetariens_26829.aspx
Nems végétariens	Protéine de soja	Glycine max	30 g	11.16 g	630.0	62.8	7.03	2.9	18.6	7	172.67	17.03	2.18	1.27	https://www.marmiton.org/recettes/recette_nems-vegetariens_26829.aspx
Nems végétariens	Sauce soja	Glycine max	30 g	9.33 g	193.0	68.9	3.64	0.1	7.08	7	172.67	17.03	2.18	1.27	https://www.marmiton.org/recettes/recette_nems-vegetariens_26829.aspx
Nems végétariens	Coulis de tomate	Solanum lycopersicum	80 g	9.44 g	NA	88.2	8.53	0.2	2.05	7	172.67	17.03	2.18	1.27	https://www.marmiton.org/recettes/recette_nems-vegetariens_26829.aspx
Terrine de légumes (carotte, courgette, brocoli)	Courgette	Cucurbita pepo	450 g	23.85 g	69.4	94.7	1.8	0.26	1.23	6	196.8	39.52	1.09	1.6	https://www.marmiton.org/recettes/recette_terrine-de-legumes-carotte-courgette-brocoli_38155.aspx
Terrine de légumes (carotte, courgette, brocoli)	Piment	Capsicum annuum	30 g	3.63 g	NA	87.9	7.7	0.32	1.87	6	196.8	39.52	1.09	1.6	https://www.marmiton.org/recettes/recette_terrine-de-legumes-carotte-courgette-brocoli_38155.aspx
Terrine de légumes (carotte, courgette, brocoli)	Poivre	Piper nigrum	1 g	0.91 g	1380.0	9	39.5	7.5	13.3	6	196.8	39.52	1.09	1.6	https://www.marmiton.org/recettes/recette_terrine-de-legumes-carotte-courgette-brocoli_38155.aspx
Terrine de légumes (carotte, courgette, brocoli)	Sel	NA	1 g	1.0 g	0.0	0.027	0	0	0	6	196.8	39.52	1.09	1.6	https://www.marmiton.org/recettes/recette_terrine-de-legumes-carotte-courgette-brocoli_38155.aspx
Terrine de légumes (carotte, courgette, brocoli)	Brocoli	Brassica oleracea	200 g	22.2 g	NA	88.9	1.7	0.48	3.95	6	196.8	39.52	1.09	1.6	https://www.marmiton.org/recettes/recette_terrine-de-legumes-carotte-courgette-brocoli_38155.aspx
Terrine de légumes (carotte, courgette, brocoli)	Crème liquide	Bos taurus	30 cl	96.0 g	1110.0	68	2.87	26	2.88	6	196.8	39.52	1.09	1.6	https://www.marmiton.org/recettes/recette_terrine-de-legumes-carotte-courgette-brocoli_38155.aspx
Terrine de légumes (carotte, courgette, brocoli)	Oeuf	Gallus gallus	320 g	75.84 g	584.0	76.3	0.27	9.83	12.7	6	196.8	39.52	1.09	1.6	https://www.marmiton.org/recettes/recette_terrine-de-legumes-carotte-courgette-brocoli_38155.aspx
Terrine de lentilles	Carotte	Daucus carota	120 g	14.28 g	169.0	88.1	7.59	 0.5	0.63	7	236.0	34.35	2.05	0.41	https://www.marmiton.org/recettes/recette_terrine-de-lentilles_12862.aspx
Terrine de lentilles	Huile d'olive	Olea europaea	45 g	44.95 g	3700.0	0.1	0	99.9	 0.5	7	236.0	34.35	2.05	0.41	https://www.marmiton.org/recettes/recette_terrine-de-lentilles_12862.aspx
Terrine de lentilles	Orge	Hordeum vulgare	50 g	15.6 g	503.0	68.8	24.4	0.44	2.26	7	236.0	34.35	2.05	0.41	https://www.marmiton.org/recettes/recette_terrine-de-lentilles_12862.aspx
Terrine de lentilles	Échalote	Allium ascalonicum	80 g	14.16 g	269.0	82.3	12.2	 0.5	1.81	7	236.0	34.35	2.05	0.41	https://www.marmiton.org/recettes/recette_terrine-de-lentilles_12862.aspx
Terrine de lentilles	Poivron rouge	Capsicum annuum	60 g	5.88 g	153.0	90.2	5.98	 0.5	1.06	7	236.0	34.35	2.05	0.41	https://www.marmiton.org/recettes/recette_terrine-de-lentilles_12862.aspx
Terrine de lentilles	Oeuf	Gallus gallus	80 g	18.96 g	584.0	76.3	0.27	9.83	12.7	7	236.0	34.35	2.05	0.41	https://www.marmiton.org/recettes/recette_terrine-de-lentilles_12862.aspx
Terrine de lentilles	Fromage de chèvre	Ovis aries	60 g	32.7 g	1460.0	45.5	NA	29.8	21.6	7	236.0	34.35	2.05	0.41	https://www.marmiton.org/recettes/recette_terrine-de-lentilles_12862.aspx
Cappuccino de champignons	Champignon	Dikarya	200 g	12.2 g	118.0	93.9	3.15	0.36	2.62	6	160.0	32.53	1.47	0.61	https://www.marmiton.org/recettes/recette_cappuccino-de-champignons_14048.aspx
Cappuccino de champignons	Citron	Citrus limon	15 cl	20.55 g	170.0	86.3	3.14	 0.3	1.13	6	160.0	32.53	1.47	0.61	https://www.marmiton.org/recettes/recette_cappuccino-de-champignons_14048.aspx
Cappuccino de champignons	Vin blanc	Vitis	20 cl	24.4 g	NA	87.8	4.04	0	 0.5	6	160.0	32.53	1.47	0.61	https://www.marmiton.org/recettes/recette_cappuccino-de-champignons_14048.aspx
Cappuccino de champignons	Oignon	Allium cepa	120 g	12.48 g	NA	89.6	6.25	0.62	1.1	6	160.0	32.53	1.47	0.61	https://www.marmiton.org/recettes/recette_cappuccino-de-champignons_14048.aspx
Cappuccino de champignons	Crème	Bos taurus	20 cl	69.0 g	1250.0	65.5	2.8	30.7	3	6	160.0	32.53	1.47	0.61	https://www.marmiton.org/recettes/recette_cappuccino-de-champignons_14048.aspx
Cappuccino de champignons	Cerfeuil	Anthriscus cerefolium	5 g	0.63 g	167.0	87.4	3.63	0.6	3.72	6	160.0	32.53	1.47	0.61	https://www.marmiton.org/recettes/recette_cappuccino-de-champignons_14048.aspx
Gratin de courgettes rapide	Sel	NA	1 g	1.0 g	0.0	0.027	0	0	0	4	178.0	28.0	1.87	0.82	https://www.marmiton.org/recettes/recette_gratin-de-courgettes-rapide_17071.aspx
Gratin de courgettes rapide	Poivre	Piper nigrum	1 g	0.91 g	1380.0	9	39.5	7.5	13.3	4	178.0	28.0	1.87	0.82	https://www.marmiton.org/recettes/recette_gratin-de-courgettes-rapide_17071.aspx
Gratin de courgettes rapide	Oignon	Allium cepa	360 g	37.44 g	NA	89.6	6.25	0.62	1.1	4	178.0	28.0	1.87	0.82	https://www.marmiton.org/recettes/recette_gratin-de-courgettes-rapide_17071.aspx
Gratin de courgettes rapide	Gruyère râpé	Bos taurus	100 g	67.5 g	1760.0	32.5	NA	34.6	28.4	4	178.0	28.0	1.87	0.82	https://www.marmiton.org/recettes/recette_gratin-de-courgettes-rapide_17071.aspx
Gratin de courgettes rapide	Oeuf	Gallus gallus	160 g	37.92 g	584.0	76.3	0.27	9.83	12.7	4	178.0	28.0	1.87	0.82	https://www.marmiton.org/recettes/recette_gratin-de-courgettes-rapide_17071.aspx
Gratin de courgettes rapide	Crème fraîche	Bos taurus	30 g	10.35 g	1250.0	65.5	2.8	30.7	3	4	178.0	28.0	1.87	0.82	https://www.marmiton.org/recettes/recette_gratin-de-courgettes-rapide_17071.aspx
Gratin de courgettes rapide	Beurre	Bos taurus	50 g	42.3 g	3100.0	15.4	0.9	82.9	0.7	4	178.0	28.0	1.87	0.82	https://www.marmiton.org/recettes/recette_gratin-de-courgettes-rapide_17071.aspx
Galettes de pomme de terre	Farine	Triticum aestivum	45 g	39.38 g	1480.0	12.5	73.7	1	9.03	4	127.33	31.19	1.09	0.33	https://www.marmiton.org/recettes/recette_galettes-de-pomme-de-terre_14072.aspx
Galettes de pomme de terre	Poivre	Piper nigrum	1 g	0.91 g	1380.0	9	39.5	7.5	13.3	4	127.33	31.19	1.09	0.33	https://www.marmiton.org/recettes/recette_galettes-de-pomme-de-terre_14072.aspx
Galettes de pomme de terre	Sel	NA	1 g	1.0 g	0.0	0.027	0	0	0	4	127.33	31.19	1.09	0.33	https://www.marmiton.org/recettes/recette_galettes-de-pomme-de-terre_14072.aspx
Galettes de pomme de terre	Huile	NA	30 g	29.99 g	3700.0	 0.03	0	100	 0.5	4	127.33	31.19	1.09	0.33	https://www.marmiton.org/recettes/recette_galettes-de-pomme-de-terre_14072.aspx
Galettes de pomme de terre	Oignon	Allium cepa	360 g	37.44 g	NA	89.6	6.25	0.62	1.1	4	127.33	31.19	1.09	0.33	https://www.marmiton.org/recettes/recette_galettes-de-pomme-de-terre_14072.aspx
Galettes de pomme de terre	Oeuf	Gallus gallus	80 g	18.96 g	584.0	76.3	0.27	9.83	12.7	4	127.33	31.19	1.09	0.33	https://www.marmiton.org/recettes/recette_galettes-de-pomme-de-terre_14072.aspx
Riz et petits légumes au safran	Eau	NA	60 cl	74.4 g	136.0	87.6	4.9	0.25	1.49	6	104.0	18.2	1.4	0.23	https://www.marmiton.org/recettes/recette_riz-et-petits-legumes-au-safran_38173.aspx
Riz et petits légumes au safran	Courgette	Cucurbita pepo	150 g	7.95 g	69.4	94.7	1.8	0.26	1.23	6	104.0	18.2	1.4	0.23	https://www.marmiton.org/recettes/recette_riz-et-petits-legumes-au-safran_38173.aspx
Riz et petits légumes au safran	Safran	Crocus sativus	1 g	0.88 g	1490.0	11.9	61.5	5.85	11.4	6	104.0	18.2	1.4	0.23	https://www.marmiton.org/recettes/recette_riz-et-petits-legumes-au-safran_38173.aspx
Riz et petits légumes au safran	Huile d'olive	Olea europaea	15 g	14.98 g	3700.0	0.1	0	99.9	 0.5	6	104.0	18.2	1.4	0.23	https://www.marmiton.org/recettes/recette_riz-et-petits-legumes-au-safran_38173.aspx
Riz et petits légumes au safran	Oignon	Allium cepa	120 g	12.48 g	NA	89.6	6.25	0.62	1.1	6	104.0	18.2	1.4	0.23	https://www.marmiton.org/recettes/recette_riz-et-petits-legumes-au-safran_38173.aspx
Riz et petits légumes au safran	Poivron rouge	Capsicum annuum	120 g	11.76 g	153.0	90.2	5.98	 0.5	1.06	6	104.0	18.2	1.4	0.23	https://www.marmiton.org/recettes/recette_riz-et-petits-legumes-au-safran_38173.aspx
Riz et petits légumes au safran	Petits pois	Pisum sativum	200 g	41.6 g	NA	79.2	7	0.55	5.84	6	104.0	18.2	1.4	0.23	https://www.marmiton.org/recettes/recette_riz-et-petits-legumes-au-safran_38173.aspx
Nouilles chinoises aux légumes et aux épices	Carotte	Daucus carota	90 g	10.71 g	169.0	88.1	7.59	 0.5	0.63	6	123.2	20.54	1.61	0.11	https://www.marmiton.org/recettes/recette_nouilles-chinoises-aux-legumes-et-aux-epices_21482.aspx
Nouilles chinoises aux légumes et aux épices	Courgette	Cucurbita pepo	300 g	15.9 g	69.4	94.7	1.8	0.26	1.23	6	123.2	20.54	1.61	0.11	https://www.marmiton.org/recettes/recette_nouilles-chinoises-aux-legumes-et-aux-epices_21482.aspx
Nouilles chinoises aux légumes et aux épices	Champignon de paris	Dikarya	250 g	15.25 g	118.0	93.9	3.15	0.36	2.62	6	123.2	20.54	1.61	0.11	https://www.marmiton.org/recettes/recette_nouilles-chinoises-aux-legumes-et-aux-epices_21482.aspx
Nouilles chinoises aux légumes et aux épices	Huile	NA	45 g	44.99 g	3700.0	 0.03	0	100	 0.5	6	123.2	20.54	1.61	0.11	https://www.marmiton.org/recettes/recette_nouilles-chinoises-aux-legumes-et-aux-epices_21482.aspx
Nouilles chinoises aux légumes et aux épices	Oignon	Allium cepa	120 g	12.48 g	NA	89.6	6.25	0.62	1.1	6	123.2	20.54	1.61	0.11	https://www.marmiton.org/recettes/recette_nouilles-chinoises-aux-legumes-et-aux-epices_21482.aspx
Nouilles chinoises aux légumes et aux épices	Poivron rouge	Capsicum annuum	120 g	11.76 g	153.0	90.2	5.98	 0.5	1.06	6	123.2	20.54	1.61	0.11	https://www.marmiton.org/recettes/recette_nouilles-chinoises-aux-legumes-et-aux-epices_21482.aspx
Nouilles chinoises aux légumes et aux épices	Nouilles chinoises	NA	100 g	33.1 g	690.0	66.9	21.4	6.9	3.5	6	123.2	20.54	1.61	0.11	https://www.marmiton.org/recettes/recette_nouilles-chinoises-aux-legumes-et-aux-epices_21482.aspx
Nouilles chinoises aux légumes et aux épices	Mélange 5 épices	NA	5 g	NA	NA	NA	NA	NA	NA	6	123.2	20.54	1.61	0.11	https://www.marmiton.org/recettes/recette_nouilles-chinoises-aux-legumes-et-aux-epices_21482.aspx
Nouilles chinoises aux légumes et aux épices	Sauce soja	Glycine max	45 g	13.99 g	193.0	68.9	3.64	0.1	7.08	6	123.2	20.54	1.61	0.11	https://www.marmiton.org/recettes/recette_nouilles-chinoises-aux-legumes-et-aux-epices_21482.aspx
gratin de brocolis	Lait	Bos taurus	50 cl	53.0 g	198.0	89.4	4.83	1.55	3.38	7	295.5	33.63	2.13	2.06	https://www.marmiton.org/recettes/recette_gratin-de-brocolis_22413.aspx
gratin de brocolis	Ail	Allium sativum	80 g	25.76 g	470.0	67.8	18.6	 0.5	5.31	7	295.5	33.63	2.13	2.06	https://www.marmiton.org/recettes/recette_gratin-de-brocolis_22413.aspx
gratin de brocolis	Poivre	Piper nigrum	1 g	0.91 g	1380.0	9	39.5	7.5	13.3	7	295.5	33.63	2.13	2.06	https://www.marmiton.org/recettes/recette_gratin-de-brocolis_22413.aspx
gratin de brocolis	Sel	NA	1 g	1.0 g	0.0	0.027	0	0	0	7	295.5	33.63	2.13	2.06	https://www.marmiton.org/recettes/recette_gratin-de-brocolis_22413.aspx
gratin de brocolis	Brocoli	Brassica oleracea	1 kg	111.0 g	NA	88.9	1.7	0.48	3.95	7	295.5	33.63	2.13	2.06	https://www.marmiton.org/recettes/recette_gratin-de-brocolis_22413.aspx
gratin de brocolis	Beurre	Bos taurus	40 g	33.84 g	3100.0	15.4	0.9	82.9	0.7	7	295.5	33.63	2.13	2.06	https://www.marmiton.org/recettes/recette_gratin-de-brocolis_22413.aspx
gratin de brocolis	Coulis de tomate	Solanum lycopersicum	15 g	1.77 g	NA	88.2	8.53	0.2	2.05	7	295.5	33.63	2.13	2.06	https://www.marmiton.org/recettes/recette_gratin-de-brocolis_22413.aspx
gratin de brocolis	Oeuf	Gallus gallus	240 g	56.88 g	584.0	76.3	0.27	9.83	12.7	7	295.5	33.63	2.13	2.06	https://www.marmiton.org/recettes/recette_gratin-de-brocolis_22413.aspx
gratin de brocolis	Crème fraîche	Bos taurus	10 cl	34.5 g	1250.0	65.5	2.8	30.7	3	7	295.5	33.63	2.13	2.06	https://www.marmiton.org/recettes/recette_gratin-de-brocolis_22413.aspx
gratin de brocolis	Chapelure	Triticum	30 g	27.81 g	1580.0	7.29	70	3.77	11.6	7	295.5	33.63	2.13	2.06	https://www.marmiton.org/recettes/recette_gratin-de-brocolis_22413.aspx
Couscous végétarien facile	Carotte	Daucus carota	360 g	42.84 g	169.0	88.1	7.59	 0.5	0.63	10	169.33	18.02	1.79	2.9	https://www.marmiton.org/recettes/recette_couscous-vegetarien-facile_62233.aspx
Couscous végétarien facile	Tomate	Solanum lycopersicum	400 g	47.2 g	NA	88.2	8.53	0.2	2.05	10	169.33	18.02	1.79	2.9	https://www.marmiton.org/recettes/recette_couscous-vegetarien-facile_62233.aspx
Couscous végétarien facile	Courgette	Cucurbita pepo	300 g	15.9 g	69.4	94.7	1.8	0.26	1.23	10	169.33	18.02	1.79	2.9	https://www.marmiton.org/recettes/recette_couscous-vegetarien-facile_62233.aspx
Couscous végétarien facile	Ail	Allium sativum	80 g	25.76 g	470.0	67.8	18.6	 0.5	5.31	10	169.33	18.02	1.79	2.9	https://www.marmiton.org/recettes/recette_couscous-vegetarien-facile_62233.aspx
Couscous végétarien facile	Huile d'olive	Olea europaea	30 g	29.97 g	3700.0	0.1	0	99.9	 0.5	10	169.33	18.02	1.79	2.9	https://www.marmiton.org/recettes/recette_couscous-vegetarien-facile_62233.aspx
Couscous végétarien facile	Curcuma	Curcuma longa	2 g	1.74 g	1220.0	12.9	44.4	3.25	9.68	10	169.33	18.02	1.79	2.9	https://www.marmiton.org/recettes/recette_couscous-vegetarien-facile_62233.aspx
Couscous végétarien facile	Graines de coriandre	Coriandrum sativum	10 g	9.11 g	1430.0	8.88	13	17.8	12.4	10	169.33	18.02	1.79	2.9	https://www.marmiton.org/recettes/recette_couscous-vegetarien-facile_62233.aspx
Couscous végétarien facile	Poivre	Piper nigrum	1 g	0.91 g	1380.0	9	39.5	7.5	13.3	10	169.33	18.02	1.79	2.9	https://www.marmiton.org/recettes/recette_couscous-vegetarien-facile_62233.aspx
Couscous végétarien facile	Sel	NA	1 g	1.0 g	0.0	0.027	0	0	0	10	169.33	18.02	1.79	2.9	https://www.marmiton.org/recettes/recette_couscous-vegetarien-facile_62233.aspx
Couscous végétarien facile	Semoule	Triticum	150 g	149.75 g	NA	0.17	99.8	0	0	10	169.33	18.02	1.79	2.9	https://www.marmiton.org/recettes/recette_couscous-vegetarien-facile_62233.aspx
Couscous végétarien facile	Navet	NA	400 g	32.4 g	NA	91.9	4.7	0.1	0.76	10	169.33	18.02	1.79	2.9	https://www.marmiton.org/recettes/recette_couscous-vegetarien-facile_62233.aspx
Couscous végétarien facile	Oignon	Allium cepa	240 g	24.96 g	NA	89.6	6.25	0.62	1.1	10	169.33	18.02	1.79	2.9	https://www.marmiton.org/recettes/recette_couscous-vegetarien-facile_62233.aspx
Couscous végétarien facile	Margarine	NA	100 g	NA	2970.0	NA	 0.5	80	 0.5	10	169.33	18.02	1.79	2.9	https://www.marmiton.org/recettes/recette_couscous-vegetarien-facile_62233.aspx
Lasagnes de chou vert frisé	Champignon de paris	Dikarya	360 g	21.96 g	118.0	93.9	3.15	0.36	2.62	9	322.0	31.02	3.37	1.36	https://www.marmiton.org/recettes/recette_lasagnes-de-chou-vert-frise_36756.aspx
Lasagnes de chou vert frisé	Concentré de tomates	Solanum lycopersicum	15 g	4.2 g	419.0	72	17.1	0.53	4.4	9	322.0	31.02	3.37	1.36	https://www.marmiton.org/recettes/recette_lasagnes-de-chou-vert-frise_36756.aspx
Lasagnes de chou vert frisé	Ail	Allium sativum	80 g	25.76 g	470.0	67.8	18.6	 0.5	5.31	9	322.0	31.02	3.37	1.36	https://www.marmiton.org/recettes/recette_lasagnes-de-chou-vert-frise_36756.aspx
Lasagnes de chou vert frisé	Lait	Bos taurus	25 cl	26.5 g	198.0	89.4	4.83	1.55	3.38	9	322.0	31.02	3.37	1.36	https://www.marmiton.org/recettes/recette_lasagnes-de-chou-vert-frise_36756.aspx
Lasagnes de chou vert frisé	Maïzena	Zea mays	45 g	40.83 g	1540.0	9.26	89.2	0.25	0.43	9	322.0	31.02	3.37	1.36	https://www.marmiton.org/recettes/recette_lasagnes-de-chou-vert-frise_36756.aspx
Lasagnes de chou vert frisé	Huile d'olive	Olea europaea	5 g	5.0 g	3700.0	0.1	0	99.9	 0.5	9	322.0	31.02	3.37	1.36	https://www.marmiton.org/recettes/recette_lasagnes-de-chou-vert-frise_36756.aspx
Lasagnes de chou vert frisé	Épices	NA	5 g	4.58 g	1460.0	8.46	50.5	8.69	6.09	9	322.0	31.02	3.37	1.36	https://www.marmiton.org/recettes/recette_lasagnes-de-chou-vert-frise_36756.aspx
Lasagnes de chou vert frisé	Chou	Brassica oleracea	500 g	41.0 g	NA	91.8	1.92	0.41	2.53	9	322.0	31.02	3.37	1.36	https://www.marmiton.org/recettes/recette_lasagnes-de-chou-vert-frise_36756.aspx
Lasagnes de chou vert frisé	Tofu	Glycine max	150 g	39.3 g	617.0	73.8	2.87	8.5	13.4	9	322.0	31.02	3.37	1.36	https://www.marmiton.org/recettes/recette_lasagnes-de-chou-vert-frise_36756.aspx
Lasagnes de chou vert frisé	Oignon	Allium cepa	120 g	12.48 g	NA	89.6	6.25	0.62	1.1	9	322.0	31.02	3.37	1.36	https://www.marmiton.org/recettes/recette_lasagnes-de-chou-vert-frise_36756.aspx
Lasagnes de chou vert frisé	Crème fraîche épaisse	Bos taurus	30 g	10.35 g	1250.0	65.5	2.8	30.7	3	9	322.0	31.02	3.37	1.36	https://www.marmiton.org/recettes/recette_lasagnes-de-chou-vert-frise_36756.aspx
Lasagnes de chou vert frisé	Fromage râpé	Bos taurus	80 g	49.6 g	1530.0	38	NA	28.6	28.1	9	322.0	31.02	3.37	1.36	https://www.marmiton.org/recettes/recette_lasagnes-de-chou-vert-frise_36756.aspx
Poivrons farcis riz et épices (végétarien)	Aubergine	Solanum melongena	150 g	10.65 g	NA	92.9	2.39	0.14	1.12	7	115.33	17.17	1.62	1.07	https://www.marmiton.org/recettes/recette_poivrons-farcis-riz-et-epices-vegetarien_39545.aspx
Poivrons farcis riz et épices (végétarien)	Pignons	Pinus	50 g	48.77 g	NA	2.45	6.31	65	13.7	7	115.33	17.17	1.62	1.07	https://www.marmiton.org/recettes/recette_poivrons-farcis-riz-et-epices-vegetarien_39545.aspx
Poivrons farcis riz et épices (végétarien)	Raisins secs	Vitis	80 g	67.2 g	1360.0	16	73.2	0.9	3	7	115.33	17.17	1.62	1.07	https://www.marmiton.org/recettes/recette_poivrons-farcis-riz-et-epices-vegetarien_39545.aspx
Poivrons farcis riz et épices (végétarien)	Riz	Oryza sativa	150 g	59.4 g	668.0	60.4	32.6	1	3.21	7	115.33	17.17	1.62	1.07	https://www.marmiton.org/recettes/recette_poivrons-farcis-riz-et-epices-vegetarien_39545.aspx
Poivrons farcis riz et épices (végétarien)	Cannelle	Cinnamomum verum	3 g	2.68 g	1000.0	10.6	27.5	1.22	3.87	7	115.33	17.17	1.62	1.07	https://www.marmiton.org/recettes/recette_poivrons-farcis-riz-et-epices-vegetarien_39545.aspx
