Recipe	Ingredient	Specie	Quantity	Dry_matter	Energy	Water	Glucides	Lipids	Proteins	Richness	Phylogenetic_diversity	Weighted_phylogenetic_diversity	Shannon	Simpson	URL
Cheese cake (gâteau au fromage blanc) inratable 	Beurre doux	Bos taurus	125 g	105.5 g	3100.0	15.6	0.5	83.4	0.7	5	224.67	31.48	-1.39	9.22	https://www.marmiton.org/recettes/recette_cheese-cake-gateau-au-fromage-blanc-inratable_20518.aspx
Bavarois aux fraises sur génoise	Coulis de fruits rouges	NA	50 g	NA	NA	NA	25.1	0.54	0.8	6	255.33	35.89	-3.51	15.08	https://www.marmiton.org/recettes/recette_bavarois-aux-fraises-sur-genoise_58126.aspx
Bavarois aux fraises sur génoise	Fraises	Fragaria	500 g	48.5 g	162.0	90.3	6.03	 0.5	0.63	6	255.33	35.89	-3.51	15.08	https://www.marmiton.org/recettes/recette_bavarois-aux-fraises-sur-genoise_58126.aspx
Bavarois aux fraises sur génoise	Citron	Citrus limon	2 cl	2.74 g	170.0	86.3	3.14	 0.3	1.13	6	255.33	35.89	-3.51	15.08	https://www.marmiton.org/recettes/recette_bavarois-aux-fraises-sur-genoise_58126.aspx
Bavarois aux fraises sur génoise	Sucre	Saccharum	345 g	344.41 g	NA	0.17	99.8	0	0	6	255.33	35.89	-3.51	15.08	https://www.marmiton.org/recettes/recette_bavarois-aux-fraises-sur-genoise_58126.aspx
Bavarois aux fraises sur génoise	Crème liquide	Bos taurus	40 cl	128.0 g	1110.0	68	2.87	26	2.88	6	255.33	35.89	-3.51	15.08	https://www.marmiton.org/recettes/recette_bavarois-aux-fraises-sur-genoise_58126.aspx
Bavarois aux fraises sur génoise	Farine	Triticum aestivum	125 g	109.38 g	1480.0	12.5	73.7	1	9.03	6	255.33	35.89	-3.51	15.08	https://www.marmiton.org/recettes/recette_bavarois-aux-fraises-sur-genoise_58126.aspx
Bavarois aux fraises sur génoise	Jaune d'oeuf	Gallus gallus	140 g	69.58 g	1410.0	50.3	1.31	30.1	16	6	255.33	35.89	-3.51	15.08	https://www.marmiton.org/recettes/recette_bavarois-aux-fraises-sur-genoise_58126.aspx
Bavarois aux fraises sur génoise	Blanc d'oeuf	Gallus gallus	220 g	27.28 g	204.0	87.6	0.85	0.19	10.8	6	255.33	35.89	-3.51	15.08	https://www.marmiton.org/recettes/recette_bavarois-aux-fraises-sur-genoise_58126.aspx
Tarte amandine aux poires	Sucre	Saccharum	100 g	99.83 g	NA	0.17	99.8	0	0	6	212.4	35.34	1.15	2.83	https://www.marmiton.org/recettes/recette_tarte-amandine-aux-poires_14195.aspx
Tarte amandine aux poires	Amandes	Prunus dulcis	100 g	95.49 g	NA	4.51	8.76	52.5	21.4	6	212.4	35.34	1.15	2.83	https://www.marmiton.org/recettes/recette_tarte-amandine-aux-poires_14195.aspx
Tarte amandine aux poires	Farine	Triticum aestivum	25 g	21.88 g	1480.0	12.5	73.7	1	9.03	6	212.4	35.34	1.15	2.83	https://www.marmiton.org/recettes/recette_tarte-amandine-aux-poires_14195.aspx
Tarte amandine aux poires	Poire	Pyrus communis	100 g	12.4 g	136.0	87.6	4.9	0.25	1.49	6	212.4	35.34	1.15	2.83	https://www.marmiton.org/recettes/recette_tarte-amandine-aux-poires_14195.aspx
Tarte amandine aux poires	Beurre	Bos taurus	100 g	84.6 g	3100.0	15.4	0.9	82.9	0.7	6	212.4	35.34	1.15	2.83	https://www.marmiton.org/recettes/recette_tarte-amandine-aux-poires_14195.aspx
Tarte amandine aux poires	Oeuf	Gallus gallus	160 g	37.92 g	584.0	76.3	0.27	9.83	12.7	6	212.4	35.34	1.15	2.83	https://www.marmiton.org/recettes/recette_tarte-amandine-aux-poires_14195.aspx
Tarte amandine aux poires	Alcool de poire	NA	10 cl	NA	2730.0	NA	0	0	0	6	212.4	35.34	1.15	2.83	https://www.marmiton.org/recettes/recette_tarte-amandine-aux-poires_14195.aspx
Tarte à la rhubarbe rapide	Rhubarbe	Rheum rhabarbarum	800 g	64.0 g	NA	92	1.47	0.23	0.78	4	208.4	37.35	0.2	4.96	https://www.marmiton.org/recettes/recette_tarte-a-la-rhubarbe-rapide_22715.aspx
Tarte à la rhubarbe rapide	Oeuf	Gallus gallus	160 g	37.92 g	584.0	76.3	0.27	9.83	12.7	4	208.4	37.35	0.2	4.96	https://www.marmiton.org/recettes/recette_tarte-a-la-rhubarbe-rapide_22715.aspx
Tarte à la rhubarbe rapide	Crème fraîche	Bos taurus	125 g	43.12 g	1250.0	65.5	2.8	30.7	3	4	208.4	37.35	0.2	4.96	https://www.marmiton.org/recettes/recette_tarte-a-la-rhubarbe-rapide_22715.aspx
Tarte à la rhubarbe rapide	Farine	Triticum aestivum	200 g	175.0 g	1480.0	12.5	73.7	1	9.03	4	208.4	37.35	0.2	4.96	https://www.marmiton.org/recettes/recette_tarte-a-la-rhubarbe-rapide_22715.aspx
Tarte à la rhubarbe rapide	Eau	NA	5 cl	6.2 g	136.0	87.6	4.9	0.25	1.49	4	208.4	37.35	0.2	4.96	https://www.marmiton.org/recettes/recette_tarte-a-la-rhubarbe-rapide_22715.aspx
Tarte à la rhubarbe rapide	Sel	NA	1 g	1.0 g	0.0	0.027	0	0	0	4	208.4	37.35	0.2	4.96	https://www.marmiton.org/recettes/recette_tarte-a-la-rhubarbe-rapide_22715.aspx
Tarte à la rhubarbe rapide	Beurre	Bos taurus	100 g	84.6 g	3100.0	15.4	0.9	82.9	0.7	4	208.4	37.35	0.2	4.96	https://www.marmiton.org/recettes/recette_tarte-a-la-rhubarbe-rapide_22715.aspx
Tarte à la rhubarbe rapide	Jaune d'oeuf	Gallus gallus	35 g	17.39 g	1410.0	50.3	1.31	30.1	16	4	208.4	37.35	0.2	4.96	https://www.marmiton.org/recettes/recette_tarte-a-la-rhubarbe-rapide_22715.aspx
Charlotte aux fruits d'été	Sucre glace	Saccharum	100 g	NA	NA	NA	NA	NA	NA	5	189.2	NA	NA	NA	https://www.marmiton.org/recettes/recette_charlotte-aux-fruits-d-ete_20546.aspx
Charlotte aux fruits d'été	Jus d'orange	Citrus sinensis	30 cl	30.9 g	194.0	89.7	9.59	0.13	0.63	5	189.2	NA	NA	NA	https://www.marmiton.org/recettes/recette_charlotte-aux-fruits-d-ete_20546.aspx
Charlotte aux fruits d'été	Mascarpone	Bos taurus	200 g	97.0 g	NA	51.5	4	39	4.38	5	189.2	NA	NA	NA	https://www.marmiton.org/recettes/recette_charlotte-aux-fruits-d-ete_20546.aspx
Charlotte aux fruits d'été	Fromage blanc	Bos taurus	400 g	74.0 g	368.0	81.5	5.68	4.31	7.1	5	189.2	NA	NA	NA	https://www.marmiton.org/recettes/recette_charlotte-aux-fruits-d-ete_20546.aspx
Charlotte aux fruits d'été	Framboise	Rubus idaeus	150 g	19.8 g	206.0	86.8	5.83	0.8	1.19	5	189.2	NA	NA	NA	https://www.marmiton.org/recettes/recette_charlotte-aux-fruits-d-ete_20546.aspx
Charlotte aux fruits d'été	Pêche	Prunus persica	200 g	22.8 g	NA	88.6	9	0.33	1.08	5	189.2	NA	NA	NA	https://www.marmiton.org/recettes/recette_charlotte-aux-fruits-d-ete_20546.aspx
Clafoutis aux cerises express	Sucre glace	Saccharum	100 g	NA	NA	NA	NA	NA	NA	5	189.2	NA	NA	NA	https://www.marmiton.org/recettes/recette_clafoutis-aux-cerises-express_17365.aspx
Clafoutis aux cerises express	Jus d'orange	Citrus sinensis	30 cl	30.9 g	194.0	89.7	9.59	0.13	0.63	5	189.2	NA	NA	NA	https://www.marmiton.org/recettes/recette_clafoutis-aux-cerises-express_17365.aspx
Clafoutis aux cerises express	Mascarpone	Bos taurus	200 g	97.0 g	NA	51.5	4	39	4.38	5	189.2	NA	NA	NA	https://www.marmiton.org/recettes/recette_clafoutis-aux-cerises-express_17365.aspx
Clafoutis aux cerises express	Fromage blanc	Bos taurus	400 g	74.0 g	368.0	81.5	5.68	4.31	7.1	5	189.2	NA	NA	NA	https://www.marmiton.org/recettes/recette_clafoutis-aux-cerises-express_17365.aspx
Clafoutis aux cerises express	Framboise	Rubus idaeus	150 g	19.8 g	206.0	86.8	5.83	0.8	1.19	5	189.2	NA	NA	NA	https://www.marmiton.org/recettes/recette_clafoutis-aux-cerises-express_17365.aspx
Clafoutis aux cerises express	Pêche	Prunus persica	200 g	22.8 g	NA	88.6	9	0.33	1.08	5	189.2	NA	NA	NA	https://www.marmiton.org/recettes/recette_clafoutis-aux-cerises-express_17365.aspx

