recipe_name	ingredients	quantity	unit	url
Tourte de Noël végétarienne de Coralie	Thym	3	g	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Miel	30	g	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Pâtes feuilletées	480	g	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Marrons	400	g	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Épinards	250	g	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Échalotes	40	g	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Beurre	20	g	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Oeuf	60	g	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Paëlla végétarienne	sel	1	g	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	poivre	1	g	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	safran	1	g	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	noix de cajou	150	g	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	tomates concassées	140	g	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	ail	40	g	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	champignon	250	g	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	huile d'olive	2	cuillère à soupe	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	riz rond	350	g	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	oignon	280	g	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	petits pois	150	g	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	haricots verts	60	g	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	poivron rouge	100	g	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	poivron vert	100	g	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	poivre de Cayenne	1	g	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Ragoût végétarien aux légumes	herbes de Provence	3	g	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	basilic	3	g	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	poivre	1	g	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	persil	3	g	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	thym	3	g	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	eau	15	cl	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
