Recette	Ingrédient	Espèce	Quantité 	Matière sèche (g)	Eau (%)	Glucides (%)	Lipides (%)	Protéines (%)	Diversité phylogénétique	Diversité phylogénétique pondérée	Indice de Shannon	Indice de Simpson	URL de la recette	
Curry de légumes végétarien	ail	Allium sativum	4 g	1.29 g	67,8	18,6	< 0,5	5,31	195.09	16.45	1.62	2.62	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Curry de légumes végétarien	courgette	Cucurbita pepo	700 g	37.1 g	94,7	1,8	0,26	1,23	195.09	16.45	1.62	2.62	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Curry de légumes végétarien	carotte	Daucus carota	400 g	47.6 g	88,1	7,59	< 0,5	0,63	195.09	16.45	1.62	2.62	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Curry de légumes végétarien	patate douce	Ipomoea batatas	350 g	129.15 g	63,1	19,3	-	-	195.09	16.45	1.62	2.62	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Curry de légumes végétarien	échalote	Allium ascalonicum	75 g	13.27 g	82,3	12,2	< 0,5	1,81	195.09	16.45	1.62	2.62	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Curry de légumes végétarien	crème de coco	Cocos nucifera	30 cl	74.7 g	75,1	3,4	18,4	1,77	195.09	16.45	1.62	2.62	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Curry de légumes végétarien	pâte de curry	-	50 g	-	-	-	-	-	195.09	16.45	1.62	2.62	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Curry de légumes végétarien	citron vert	Citrus aurantiifolia	40 g	5.48 g	86,3	3,14	< 0,3	1,13	195.09	16.45	1.62	2.62	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Curry de légumes végétarien	petit piment	Capsicum	15 g	1.81 g	87,9	7,7	0,32	1,87	195.09	16.45	1.62	2.62	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Hamburger Végétarien 	salade	Lactuca sativa	35 g	1.37 g	96,1	1,5	0,1	1,01	32.0	16.0	0.15	0.0	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	toastinette	-	80 g	50.32 g	37,1	traces	33,8	24	32.0	16.0	0.15	0.0	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	mayonnaise	-	15 g	12.29 g	18,1	2,62	75,2	1,36	32.0	16.0	0.15	0.0	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	pain pour hamburger	-	220 g	152.02 g	30,9	49,7	5,35	9,07	32.0	16.0	0.15	0.0	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	cornichons	Cucumis sativus	40 g	2.52 g	93,7	0,78	< 0,6	1,06	32.0	16.0	0.15	0.0	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Tourte de Noël végétarienne de Coralie	pâte feuilletée	-	460 g	324.3 g	29,5	41,4	20,4	5,41	268.89	24.32	1.36	2.45	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	huile d'olive	Olea europaea	2 cuillères à soupe	29.97 g	0,1	0	99,9	< 0,5	268.89	24.32	1.36	2.45	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	miel	-	2 cuillères à soupe	24.72 g	17,6	81,7	0	0,56	268.89	24.32	1.36	2.45	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	thym	Thymus vulgaris	2 g	0.7 g	65,1	10,5	1,68	5,56	268.89	24.32	1.36	2.45	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	cannelle	Cinnamomum verum	2 g	1.79 g	10,6	27,5	1,22	3,87	268.89	24.32	1.36	2.45	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	coriandre	Coriandrum sativum	2 g	1.82 g	8,88	13	17,8	12,4	268.89	24.32	1.36	2.45	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	champignon	Dikarya	275 g	16.77 g	93,9	3,15	0,36	2,62	268.89	24.32	1.36	2.45	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	marrons	Castanea	400 g	149.2 g	62,7	28,8	1,4	1,96	268.89	24.32	1.36	2.45	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	épinards	Spinacia oleracea	250 g	21.0 g	91,6	2,25	0,5	2,62	268.89	24.32	1.36	2.45	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	échalote	Allium ascalonicum	50 g	8.85 g	82,3	12,2	< 0,5	1,81	268.89	24.32	1.36	2.45	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	beurre	Bos taurus	20 g	16.92 g	15,4	0,9	82,9	0,7	268.89	24.32	1.36	2.45	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	oeuf	Gallus gallus	60 g	14.22 g	76,3	0,27	9,83	12,7	268.89	24.32	1.36	2.45	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Paëlla végétarienne	sel	-	1 g	1.0 g	0,027	0	0	0	241.08	18.04	1.07	4.46	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	poivre	Piper nigrum	1 g	0.91 g	9	39,5	7,5	13,3	241.08	18.04	1.07	4.46	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	safran	Crocus sativus	1 g	0.88 g	11,9	61,5	5,85	11,4	241.08	18.04	1.07	4.46	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	noix de cajou	Anacardium occidentale	150 g	147.74 g	1,51	26,7	49,5	15,2	241.08	18.04	1.07	4.46	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	tomates concassées	Solanum lycopersicum	400 g	23.6 g	94,1	2,49	0,26	0,86	241.08	18.04	1.07	4.46	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	ail	Allium sativum	8 g	2.58 g	67,8	18,6	< 0,5	5,31	241.08	18.04	1.07	4.46	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	champignon	Dikarya	250 g	15.25 g	93,9	3,15	0,36	2,62	241.08	18.04	1.07	4.46	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	huile d'olive	Olea europaea	2 cuillères à soupe	29.97 g	0,1	0	99,9	< 0,5	241.08	18.04	1.07	4.46	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	riz rond	Oryza sativa	350 g	138.6 g	60,4	32,6	1	3,21	241.08	18.04	1.07	4.46	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	oignon	Allium cepa	280 g	29.12 g	89,6	6,25	0,62	1,1	241.08	18.04	1.07	4.46	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	petits pois	Pisum sativum	150 g	31.2 g	79,2	7	0,55	5,84	241.08	18.04	1.07	4.46	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	haricots verts	Phaseolus vulgaris	20 g	1.92 g	90,4	4,14	0,21	1,85	241.08	18.04	1.07	4.46	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	poivron rouge	Capsicum annuum	200 g	19.6 g	90,2	5,98	< 0,5	1,06	241.08	18.04	1.07	4.46	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	poivron vert	Capsicum annuum	200 g	14.0 g	93	3,43	< 0,5	0,81	241.08	18.04	1.07	4.46	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	poivre de Cayenne	Capsicum annuum	1 g	0.92 g	8,05	29,4	17,3	12	241.08	18.04	1.07	4.46	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Ragoût végétarien aux légumes	herbes de Provence	-	1 g	0.93 g	7,1	23	7,2	11,5	227.82	18.63	2.22	2.1	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	basilic	Ocimum basilicum	5 g	0.42 g	91,7	2,55	0,47	3,35	227.82	18.63	2.22	2.1	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	poivre	Piper nigrum	1 g	0.91 g	9	39,5	7,5	13,3	227.82	18.63	2.22	2.1	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	persil	Petroselinum crispum	5 g	0.72 g	85,5	3,48	0,63	3,71	227.82	18.63	2.22	2.1	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	thym	Thymus vulgaris	3 g	1.05 g	65,1	10,5	1,68	5,56	227.82	18.63	2.22	2.1	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
